"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",5.81534158437288,2.12692847343477,1.44519173829526,1.4717275341912,0.141094469133277,NA
"A1BG-AS1",7.63881646472744,0.132920194765597,1.19052992895735,0.111647923779629,0.911102571857743,NA
"A2M",0.0851253979649469,0.452956056659202,4.06006301898499,0.111563799512758,0.911169276582481,NA
"A2M-AS1",1.61821032003825,-0.917766974606309,3.02437915613259,-0.303456321852151,0.761542129149449,NA
"A2ML1",35.1085275237999,-1.30723444356362,0.588883465879579,-2.21985251633969,0.0264287806695683,NA
"A3GALT2",0.0541184949405322,0.172089124609701,4.0545464560619,0.0424434955856562,0.966145155107588,NA
"A4GALT",17.4942319858739,-0.295661531704924,0.832658823887449,-0.355081244830342,0.72252872680347,NA
"AAAS",603.064708217938,-0.134485297806409,0.175287947337973,-0.76722501374899,0.442947743192599,0.819670239151926
"AACS",517.256775251801,0.112626594165818,0.185354997108823,0.607626424550584,0.543435270974904,0.874388137019649
"AADAC",4.92042911580956,6.46403261281194,2.00356046796095,3.22627278596212,0.00125413764730829,NA
"AADACL3",0.10057288013028,0.558675317804517,4.06216864661698,0.137531295818993,0.890610857283899,NA
"AADACL4",0.10057288013028,0.558675317804517,4.06216864661698,0.137531295818993,0.890610857283899,NA
"AADAT",48.4639906700736,-0.352548759547009,0.497229990794039,-0.70902553360471,0.478308631832923,NA
"AAGAB",1442.8068157982,0.0908546195413437,0.143466818618267,0.633279669935996,0.526551026959624,0.866016949296891
"AAK1",390.721573694378,-0.0868061312931687,0.216000103700581,-0.401880044527659,0.687772309610436,0.932320325753001
"AAMDC",70.4051863415277,0.0466112677286202,0.426364596513918,0.109322556585907,0.912946656250094,NA
"AAMP",1151.18277480753,-0.053702153022206,0.149411890062776,-0.359423557252657,0.719278254384804,0.941748544828243
"AANAT",0.995093297701103,-2.64529786526392,3.70870711779102,-0.713266855873891,0.475680642876598,NA
"AAR2",509.00220301003,-0.124650253381504,0.212524320188041,-0.586522301406321,0.55752457935866,0.881201432052162
"AARS2",233.16096892115,-0.0150357880296658,0.246910855486388,-0.0608956135203002,0.951442342868246,0.989924470252128
"AARSD1",288.178537781408,-0.314932274618498,0.227937359850875,-1.38166150044266,0.16707566080605,0.579727238276772
"AASDH",73.8178008764565,0.00705230675885335,0.413241180706732,0.0170658373078704,0.98638409282058,NA
"AASDHPPT",590.381039598009,0.119794241115876,0.184650599357017,0.648761723671725,0.516492401443627,0.860964466145709
"AASS",62.5240317011488,-0.203579588683222,0.439067748530371,-0.463663271476065,0.642889015426525,NA
"AATBC",3.86520601968189,0.986113933340375,1.66156900529875,0.593483587016641,0.552857563964815,NA
"AATF",940.240676040527,-0.544934302763358,0.186558756719035,-2.92097949379052,0.00348932793501756,0.0732521497106407
"AATK",21.243353739558,-0.105302442378975,0.738215082397337,-0.142644663987367,0.886570821383878,NA
"ABAT",311.070341476153,0.376952207958595,0.230589584282096,1.63473215467288,0.102105208747008,0.474305079066632
"ABCA1",9.89813017466339,0.706405814809659,1.08651661628091,0.650156476416945,0.5155911516369,NA
"ABCA10",2.28878423925211,0.436752243099848,2.0887148964696,0.209100937537267,0.834369442833676,NA
"ABCA12",45.8833431678511,0.402466024373357,0.526646892838165,0.76420468789708,0.444745273366886,NA
"ABCA13",14.4602447382019,-1.41675000783309,0.990311895074974,-1.43060990671614,0.152542046619643,NA
"ABCA2",410.281322394833,0.0127355373269027,0.19919203476213,0.0639359768683078,0.949021205471041,0.989924470252128
"ABCA3",15.2802377083685,0.116133474085155,0.872709250661328,0.133072353704456,0.894136159212333,NA
"ABCA4",11.5893945294843,0.0175940593758156,1.01874561003454,0.0172703167527947,0.986220965870782,NA
"ABCA5",158.237839335133,0.448312749175373,0.298621693196906,1.50127321419935,0.133284910079052,0.533017236318413
"ABCA6",3.25484880898627,-0.113888513770505,2.61108909765633,-0.0436172453374834,0.965209504987984,NA
"ABCA7",184.053230694962,0.0344355939738467,0.273308626860017,0.125995269046095,0.89973566948627,0.98327994239229
"ABCA8",6.25633057035482,2.47912318559668,2.24745053207159,1.10308242616203,0.269991371822051,NA
"ABCA9",0.171410780193395,-0.763844859552855,4.01290813138556,-0.190346958999313,0.8490372582818,NA
"ABCA9-AS1",0.0856477985517841,0.456818014546231,4.0601382075054,0.112512922269931,0.910416724311266,NA
"ABCB1",3.17265516263489,-1.9691064686798,2.87240241339145,-0.685525976269764,0.493012074623877,NA
"ABCB10",284.856799503948,-0.253376505976815,0.230217535456788,-1.10059603180998,0.271072513366884,0.696062971541476
"ABCB11",2.78505033617219,-0.182339224720822,1.91382621842446,-0.0952747030871651,0.924096635247068,NA
"ABCB4",0.0531659957702843,0.161281321474924,4.05433648893443,0.0397799546029572,0.968268557489462,NA
"ABCB6",408.117233314615,0.301190577347268,0.220801762869286,1.36407686892234,0.17254337396264,0.58750540815683
"ABCB7",308.329857463126,-0.0331824363755794,0.22021583145376,-0.150681429925019,0.880227022734698,0.980902528714481
"ABCB8",371.637427526689,-0.0318698761732841,0.207442272277503,-0.153632506158873,0.877899504998821,0.980902528714481
"ABCB9",47.8142559294074,-0.225814709567331,0.498456916929984,-0.453027537381029,0.650528912583551,NA
"ABCC1",932.758341852168,-0.172509451410023,0.171478266437815,-1.0060135024317,0.314409074926162,0.733383526245002
"ABCC10",229.360475135129,-0.123707427149723,0.258514917160846,-0.478531097966594,0.632272245870363,0.908371919749649
"ABCC11",2.57235926685181,2.19917271053499,2.11851691462353,1.03807182059993,0.299236619502681,NA
"ABCC12",0.114358876134234,-0.640911444492964,4.0638195587444,-0.157711590100961,0.874684067217503,NA
"ABCC2",25.9448185465611,-0.00189186510769404,0.663564886359169,-0.00285106271682681,0.997725184158193,NA
"ABCC3",766.297356957844,-0.0125519856232291,0.180611237044367,-0.069497257361377,0.944593815685584,0.989924470252128
"ABCC4",468.613509138274,-0.415633121646682,0.200564462637384,-2.07231688097276,0.0382358991479884,0.290392087212532
"ABCC5",1609.68058642521,0.623456808864243,0.144705469493597,4.30845365448906,1.6439991551557e-05,0.00127900371247323
"ABCC6",1.22513449607762,3.3200948554116,3.7365333466284,0.888549504959573,0.374245239021636,NA
"ABCC9",6.20889280242468,6.19379629699199,2.33658173832739,2.65079376226989,0.0080302859838488,NA
"ABCD1",25.5313682267047,-0.308011275841826,0.672100127877712,-0.458281828950743,0.646749977200546,NA
