,network,experiment,cellType,data,design,method,designANDmethod,expDesign,combination,numberOfDiffExp,numberOfNodes,connectivity
0,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X708,1,0,
1,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1774,3,1,
2,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X955,2,1,
3,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1164,2,0,
4,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X533,1,1,
5,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X960,2,1,
6,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X715,2,2,
7,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1942,1,0,
8,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1165,2,0,
9,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X739,1,0,
10,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1806,1,0,
11,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X552,2,1,
12,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1323,1,1,
13,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X88,1,1,
14,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X773,1,0,
15,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X849,2,1,
16,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X144,1,1,
17,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1254,3,1,
18,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X795,2,1,
19,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1548,1,0,
20,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1928,1,0,
21,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1724,2,1,
22,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X136,1,1,
23,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X575,1,1,
24,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1060,2,1,
25,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1684,1,1,
26,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1433,2,2,
27,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1894,1,0,
28,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1608,1,0,
29,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X499,1,1,
30,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X156,1,0,
31,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1973,2,1,
32,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1835,1,0,
33,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1931,1,0,
34,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1226,1,1,
35,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X649,1,1,
36,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X452,2,1,
37,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1474,1,1,
38,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1745,2,0,
39,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1496,1,1,
40,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1287,1,0,
41,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1466,1,1,
42,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X278,1,1,
43,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X550,1,1,
44,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X999,1,1,
45,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1012,2,2,
46,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1986,1,1,
47,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1264,1,1,
48,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1838,1,0,
49,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1533,1,1,
50,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X589,1,1,
51,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1622,1,0,
52,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X51,1,0,
53,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X558,1,1,
54,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X901,1,0,
55,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X236,1,0,
56,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1997,1,0,
57,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1148,1,0,
58,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1007,1,1,
59,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X267,1,1,
60,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X671,1,1,
61,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X257,1,1,
62,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X335,1,1,
63,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1979,1,0,
64,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X146,10,1,
65,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1516,1,0,
66,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X351,1,1,
67,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X741,1,1,
68,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X655,1,1,
69,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1319,1,0,
70,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X900,1,0,
71,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X139,1,1,
72,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X2003,1,1,
73,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X584,1,0,
74,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X37,1,0,
75,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X259,1,0,
76,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1744,1,0,
77,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1969,1,1,
78,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X2,2,1,
79,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1198,3,1,
80,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X396,1,0,
81,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1472,1,1,
82,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X720,1,0,
83,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X387,1,1,
84,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X998,2,1,
85,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1595,1,1,
86,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X2047,1,1,
87,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1636,1,0,
88,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X22,9,0,
89,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1960,1,0,
90,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X587,1,1,
91,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X479,1,0,
92,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1280,2,2,
93,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1670,1,0,
94,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X597,1,0,
95,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X579,1,0,
96,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X539,2,1,
97,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1712,1,1,
98,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1811,1,0,
99,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1810,1,1,
100,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1488,1,1,
101,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X721,2,0,
102,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X320,2,1,
103,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X11,1,1,
104,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1671,1,0,
105,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X386,1,1,
106,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1683,9,1,
107,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X64,2,1,
108,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1279,2,1,
109,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1260,2,1,
110,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X622,1,1,
111,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1687,8,0,
112,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1845,1,1,
113,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1043,8,0,
114,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X725,1,0,
115,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X653,1,1,
116,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1005,1,1,
117,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1859,1,1,
118,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X971,1,1,
119,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1578,1,1,
120,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1420,1,0,
121,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X885,1,1,
122,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X891,1,1,
123,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X2033,1,1,
124,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X344,1,1,
125,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1294,2,2,
126,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X53,1,0,
127,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1286,2,1,
128,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1435,2,1,
129,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1637,1,1,
130,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1987,1,1,
131,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X788,2,2,
132,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1013,2,2,
133,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1954,1,1,
134,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1175,8,0,
135,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X749,1,1,
136,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X141,1,0,
137,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1685,1,0,
138,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X486,2,2,
139,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1240,2,2,
140,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1248,1,1,
141,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X556,2,2,
142,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X349,1,1,
143,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X923,3,2,
144,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1252,2,0,
145,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1718,3,1,
146,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X2014,1,0,
147,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1708,3,2,
148,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1923,1,1,
149,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X276,1,1,
150,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1818,1,0,
151,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1132,1,0,
152,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X567,1,1,
153,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X256,2,1,
154,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1256,2,1,
155,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1587,1,1,
156,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1317,1,0,
157,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1880,1,1,
158,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X744,1,0,
159,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X501,1,1,
160,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1782,1,0,
161,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1244,1,0,
162,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X871,1,1,
163,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X2036,1,1,
164,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X534,8,0,
165,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1831,1,0,
166,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X265,1,1,
167,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X670,1,1,
168,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1282,3,2,
169,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1930,1,0,
170,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1421,1,0,
171,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1881,1,1,
172,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1766,1,0,
173,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1584,1,1,
174,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1303,2,1,
175,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X709,1,1,
176,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1605,1,1,
177,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X439,2,1,
178,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1512,2,1,
179,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1900,1,0,
180,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1178,1,1,
181,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X530,9,0,
182,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X797,1,1,
183,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1600,1,0,
184,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X493,1,1,
185,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1161,1,1,
186,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X996,1,0,
187,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1524,1,0,
188,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X583,1,1,
189,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X1527,1,1,
190,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X972,1,0,
191,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X919,1,1,
192,String850,Experiment3,Hacat,Methylation,,Champ,Champ,Y-X,X565,1,1,
