"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",2.72618277996598,-2.36649967405139,1.63986455258675,-1.44310679215454,0.148990390296004,1
"A1BG-AS1",7.12559518025308,3.03828591971885,1.1433169999663,2.65743089607555,0.00787387311488595,1
"A1CF",1.01652985765979,0,6.00582268746311,0,1,1
"A2M",1.3695874721738,5.46851133281836,5.92350421948487,0.923188560384603,0.355908949317685,1
"A2M-AS1",5.12947319821633,-0.21057600317056,1.72500050925738,-0.122073009277669,0.902841197462601,1
"A2ML1",114.31224786463,-0.364655282325111,0.200420148146779,-1.81945421005304,0.0688421626493071,1
"A2MP1",0.695579160025514,0,6.0058226876492,0,1,1
"A3GALT2",0.0655613204836606,0.162138939231328,5.99044713834969,0.0270662498953285,0.978406893574965,1
"A4GALT",19.6908259895567,-0.00646055179758075,0.461791983627151,-0.0139901774535718,0.988837817527906,1
"A4GNT",0.0279943366770715,0,6.0058226885932,0,1,1
"AAAS",760.868486662415,-0.0685048048489871,0.0847270923310929,-0.808534825924239,0.418782766248452,1
"AACS",797.437474713563,-0.0572258564173269,0.080249088097873,-0.713102887194599,0.475782093047004,1
"AACSP1",4.01744508866311,-0.57835499199606,1.53460551578496,-0.37687535073157,0.706266240334118,1
"AADAC",4.57966019101168,0.208512937039365,2.55890575918558,0.0814851958853414,0.935056097697801,1
"AADACL2",0.929797242978919,0,6.00582268829848,0,1,1
"AADACL2-AS1",6.31251141375616,-0.90735209735127,1.36679552715781,-0.663853575258667,0.506784031950997,1
"AADACL3",0.00595193630330389,0,6.00582268868689,0,1,1
"AADACP1",4.62391744011638,0.647569405140102,1.76174971021117,0.367571739269638,0.71319259055485,1
"AADAT",64.7269603398522,-0.14240254014137,0.260682862197706,-0.546267364646968,0.584882166085034,1
"AAED1",164.868526710511,-0.118576092532855,0.265332751596018,-0.446895800912631,0.654950295966679,1
"AAGAB",2058.07589737231,-0.12208128678167,0.133147069876545,-0.916890524852445,0.359200009570338,1
"AAK1",1009.27827110697,0.053989857902603,0.277210498864705,0.194761230630566,0.845579874500974,1
"AAMDC",58.2052625658092,-0.179976889030635,0.320241636517139,-0.562003401518973,0.574113701566185,1
"AAMP",1641.65172313143,0.0126718285103276,0.0981655876076879,0.129086259443275,0.897289394414084,1
"AANAT",8.12481966816997,0.0292189877797514,1.16329733057944,0.0251173857376577,0.979961332743651,1
"AAR2",745.908484752433,-0.0352325754413929,0.0852190665255414,-0.413435359924216,0.679287672360126,1
"AARS",3836.34698487821,-0.0657636485711902,0.0758934173728796,-0.866526384601714,0.386201563760531,1
"AARS2",387.392585391587,0.0550828503019812,0.170835818338819,0.322431506680498,0.747125818762078,1
"AARSD1",452.246025104549,0.0133466741079751,0.134885591808848,0.0989481080150443,0.92117947162154,1
"AASDH",109.157465372926,0.0933296884705039,0.268738799112169,0.347287733586802,0.728375165181657,1
"AASDHPPT",760.207449043901,-0.163969876650377,0.13859200512624,-1.18311208861594,0.236764727513313,1
"AASS",87.8062458589533,0.17589746264365,0.189798756675746,0.92675771814541,0.354052342438697,1
"AATBC",11.9378030901715,0.604912363139407,0.880090589086656,0.687329657469892,0.491875013821507,1
"AATF",1561.62717358124,0.0605240394794129,0.211116019071043,0.286686153640695,0.774352640561821,1
"AATK",1.91450928625215,-0.513785556821728,1.89168045437395,-0.271602720022692,0.785927507778251,1
"AATK-AS1",9.42950841090447,0.311371375907143,1.10924623234319,0.280705371655307,0.778936388360831,1
"ABALON",64.5626335433395,0.0404178193321483,0.343715604792361,0.11759087678479,0.906391834061611,1
"ABAT",326.943258860185,0.0160207399454176,0.220925880544591,0.0725163566438024,0.942190989018646,1
"ABCA1",17.401500271032,-0.364942182971556,0.592690912451596,-0.615737773778268,0.538067602401178,1
"ABCA10",4.4412721296707,3.55961150099847,1.41485231233649,2.51588909313094,0.0118732538911265,1
"ABCA11P",152.859072201981,-0.00988414694382746,0.348185162726089,-0.0283876167107187,0.97735300065571,1
"ABCA12",104.743606407228,0.108995726474917,0.192647815164235,0.565777122268409,0.571545300428538,1
"ABCA13",21.1121005528656,-0.481009742504165,0.795990440555901,-0.604290853252256,0.545650286442322,1
"ABCA17P",11.376515575488,0.118755542342363,0.565306473481896,0.210072850591841,0.833610814766609,1
"ABCA2",697.638969567446,0.0630794401111825,0.244775775989122,0.257702952247962,0.79663616748332,1
"ABCA3",12.4571086946158,0.236422831260038,0.691569330022429,0.341864251343203,0.732453053761443,1
"ABCA4",15.903620529097,-0.255149300849424,0.424467273571773,-0.601104765280053,0.547770209674107,1
"ABCA5",181.642814654279,-0.0628240827407041,0.180279966095299,-0.348480666495656,0.727479230894468,1
"ABCA6",2.37836057711586,0,4.67038117356935,0,1,1
"ABCA7",305.893108246765,0.045505219848457,0.26536006628201,0.171484807363956,0.863842575464312,1
"ABCA8",0.229948933096293,-2.2871796972805,5.97121022903099,-0.383034528940319,0.701694162464102,1
"ABCA9",0.279375155593116,-0.347216158867434,4.08156393159488,-0.085069391215381,0.93220622434356,1
