"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",2.72618277996598,-0.616715062897356,2.03738359328263,-0.302699533328284,0.762118853465689,1
"A1BG-AS1",7.12559518025308,-1.91934331054649,0.888521058876702,-2.16015511548257,0.0307606635139824,1
"A1CF",1.01652985765979,1.0476444267435,5.9111350124326,0.17723236308087,0.859325875971699,1
"A2M",1.3695874721738,0,6.00631008342226,0,1,1
"A2M-AS1",5.12947319821633,-3.42372306151956,1.87401368391281,-1.82694667115293,0.0677077880464008,1
"A2ML1",114.31224786463,0.140000767285996,0.190909969056139,0.733333979247711,0.463354755413158,1
"A2MP1",0.695579160025514,-4.25552523741912,5.9382619919611,-0.716628071173016,0.473603618909359,1
"A3GALT2",0.0655613204836606,-0.336211318365256,5.99456027765372,-0.0560860685008992,0.955273242194545,1
"A4GALT",19.6908259895567,-0.396665243119206,0.477058391378069,-0.831481534101867,0.40570165573374,1
"A4GNT",0.0279943366770715,-0.59049807923082,6.00065537775449,-0.0984055977318581,0.921610229909067,1
"AAAS",760.868486662415,0.0319913055038366,0.0842957344746838,0.379512744069445,0.70430714248228,1
"AACS",797.437474713563,0.0333370451708975,0.0806919044252443,0.413139898089554,0.679504119202509,1
"AACSP1",4.01744508866311,-3.436119451599,1.6782831642274,-2.04740149030859,0.0406186801769014,1
"AADAC",4.57966019101168,6.14200113884426,2.61022815650502,2.35305144630273,0.0186200577180719,1
"AADACL2",0.929797242978919,1.49031201177305,5.9902200875167,0.24879086076967,0.803522560927688,1
"AADACL2-AS1",6.31251141375616,-5.75867774121753,1.46337057869469,-3.93521492440704,8.31222768675432e-05,0.338604532125428
"AADACL3",0.00595193630330389,0,6.00631008342227,0,1,1
"AADACP1",4.62391744011638,3.70381141938205,1.81279516628274,2.04314943479079,0.0410376475224833,1
"AADAT",64.7269603398522,0.351001708586328,0.245102819469434,1.43205904096138,0.152126925166344,1
"AAED1",164.868526710511,0.421112874797635,0.263855942532921,1.59599541611648,0.110489816760624,1
"AAGAB",2058.07589737231,0.0650832638455687,0.133248542111286,0.488435091403948,0.625241691098838,1
"AAK1",1009.27827110697,-0.253212661224464,0.276866334263401,-0.914566452790777,0.360419276894669,1
"AAMDC",58.2052625658092,-0.302004668361474,0.339232311733147,-0.890259146655354,0.373326752080061,1
"AAMP",1641.65172313143,0.23001060607155,0.0977897670017562,2.35209279174803,0.0186681173143211,1
"AANAT",8.12481966816997,-1.05365750673042,1.11954066692086,-0.941151614999714,0.346627168041481,1
"AAR2",745.908484752433,-0.0256168582567934,0.08406061225604,-0.304742703738192,0.760562122707419,1
"AARS",3836.34698487821,0.00772986935829992,0.0755921506029714,0.102257566382773,0.918552235810487,1
"AARS2",387.392585391587,-0.00545828408097074,0.168347646520809,-0.0324226931220927,0.974134965505414,1
"AARSD1",452.246025104549,0.115089528694401,0.132961680236097,0.865584193055017,0.386718227032481,1
"AASDH",109.157465372926,0.239940253577726,0.268765148005027,0.892750623950833,0.371990733556548,1
"AASDHPPT",760.207449043901,0.226738735563811,0.1371816511324,1.6528357378129,0.0983642985852927,1
"AASS",87.8062458589533,-0.0817351727191901,0.190836336062843,-0.428299842710637,0.668432833433332,1
"AATBC",11.9378030901715,-0.924467186567778,0.887696211185346,-1.04142292703191,0.29767930641881,1
"AATF",1561.62717358124,-0.242940081313865,0.210321226298515,-1.15509064676645,0.248053308020122,1
"AATK",1.91450928625215,0.72785583864049,1.55512948274046,0.468035521619624,0.639759187657588,1
"AATK-AS1",9.42950841090447,-0.256943503371571,1.1015502312899,-0.233256274723572,0.815562409854912,1
"ABALON",64.5626335433395,0.596208900746726,0.335026686432404,1.77958629832021,0.0751436902064372,1
"ABAT",326.943258860185,-0.00540156327592849,0.225048241665207,-0.0240018017290894,0.980851171550108,1
"ABCA1",17.401500271032,-1.15771783928234,0.602102376377588,-1.92279234346737,0.0545061340442328,1
"ABCA10",4.4412721296707,3.12073537876157,1.35614351072362,2.30118372730066,0.0213812482922617,1
"ABCA11P",152.859072201981,0.210546535543837,0.345566711731575,0.609278985492626,0.54233953375236,1
"ABCA12",104.743606407228,-0.220665817148158,0.192836311289351,-1.14431672993915,0.252492307562615,1
"ABCA13",21.1121005528656,-0.0617445423448195,0.76109285498091,-0.0811261621242892,0.935341619891206,1
"ABCA17P",11.376515575488,-0.892892529946185,0.586169050356903,-1.523267953848,0.127691681152449,1
"ABCA2",697.638969567446,-0.146875952877009,0.244848355056063,-0.599864977011502,0.548596225108471,1
"ABCA3",12.4571086946158,-0.997842068253287,0.716150571276804,-1.39334116074817,0.163516649340147,1
"ABCA4",15.903620529097,-0.235693319167118,0.471500375440488,-0.499879388106376,0.617160006544087,1
"ABCA5",181.642814654279,-0.0962901406652729,0.181029384338095,-0.531903375893047,0.594792919033287,1
"ABCA6",2.37836057711586,5.86982806867585,4.55834556895401,1.28771019657967,0.197846862796488,1
"ABCA7",305.893108246765,-0.125060310472934,0.267642811512696,-0.467265717939903,0.6403097805027,1
"ABCA8",0.229948933096293,0.365118491081717,5.97803456441496,0.0610766778190164,0.951298142871726,1
"ABCA9",0.279375155593116,0.312996747454224,4.14210320586653,0.0755646906651,0.939765428882764,1
"ABCB1",1.18072317105068,0,6.00631008342227,0,1,1
"ABCB10",485.701145733721,0.0979859799366408,0.134435521897503,0.728869710576553,0.466081364423721,1
"ABCB10P1",0.0412536986735576,0.530494727262896,5.96227646823922,0.0889751976596216,0.929101621326395,1
"ABCB10P4",0.0443946605528105,0,6.00631008342227,0,1,1
"ABCB11",4.51055969739972,2.78766965263906,1.46555835648331,1.90212122247266,0.0571553085689964,1
"ABCB4",0.199527162895557,0.829707298575894,5.94503155800433,0.139563144531804,0.889005161958815,1
"ABCB5",0.00725567465839754,0,6.00631008342227,0,1,1
"ABCB6",562.86395206687,0.197506637603518,0.115985601166917,1.70285479935808,0.0885952446776761,1
"ABCB7",431.931380568093,0.017891034060885,0.134069138000625,0.13344632722858,0.893840409177831,1
"ABCB8",534.936561056519,-0.150292356266571,0.13359182683481,-1.12501161057115,0.260584114288009,1
"ABCB9",65.3741606395045,-0.0662605123684744,0.232950099553753,-0.284440798674932,0.776072596765599,1
"ABCC1",1966.12272146935,-0.258701680690889,0.226369800906502,-1.14282770782548,0.253110132317942,1
"ABCC10",389.49892586906,-0.190749499214303,0.196057532754494,-0.97292614333346,0.330590010526028,1
"ABCC11",4.3234601695381,4.81643119817922,1.69549316836163,2.84072580654122,0.00450109944742674,1
"ABCC12",0.510200359330858,-0.291239828687504,5.98294656024651,-0.0486783269338619,0.961175647997109,1
"ABCC13",2.45756062967816,-3.40309448105507,5.93795699621882,-0.57310864380158,0.566571134987746,1
"ABCC2",51.2389511023602,0.0635670625448868,0.311663334147834,0.203960670313353,0.838384233363361,1
"ABCC3",1287.47023379426,-0.0969711549625304,0.249840786995274,-0.388131802372063,0.697918498270907,1
"ABCC4",749.431431106413,0.13794654980444,0.180476985178219,0.764344271754203,0.44466210920955,1
"ABCC5",1871.40395749379,-0.215266061024682,0.263555892199365,-0.816775748128014,0.41405659395674,1
"ABCC5-AS1",4.22658141193813,0.310292477568972,1.13493051057234,0.273402181612415,0.784544075965556,1
"ABCC6",2.52133635452185,1.07489159405405,2.2833466894645,0.47075268903039,0.637817353557185,1
"ABCC6P1",2.23350159346857,-4.82955504513197,5.91030214431157,-0.817141819015162,0.413847386826735,1
"ABCC9",0.36368884665839,0,6.00631008342227,0,1,1
"ABCD1",30.0162045943013,-0.40819395423083,0.464355768942432,-0.879054340512426,0.379371812864616,1
"ABCD1P2",0.127826585712273,0.201295795006435,5.97397416962252,0.0336954578796169,0.973120001004494,1
"ABCD1P4",0.0270728303831873,-0.478883099056189,5.99797304214873,-0.0798408221729241,0.936363856540092,1
"ABCD1P5",0.00548272106170992,0.217485393474208,5.97116975462488,0.0364225775537126,0.9709454118368,1
"ABCD2",0.398285495559925,1.61443242026904,5.93453731433849,0.272040149847638,0.785591147955994,1
"ABCD3",1136.29379459253,0.0591951715877227,0.174001209512565,0.340199770757618,0.73370609080982,1
"ABCD4",398.510268005938,-0.0124457191317679,0.133490907340295,-0.0932327105998404,0.925718688254081,1
"ABCE1",2078.55409442546,0.376869623075933,0.229523805529881,1.64196311666186,0.100597648051175,1
"ABCF1",1665.24346468402,-0.091530243886002,0.167440826020939,-0.546642333659748,0.584624479107709,1
"ABCF2",1889.97991742023,0.141654414999069,0.123277329142767,1.14907109023282,0.250526668066338,1
"ABCF2P1",0.0811807730942918,-0.220479233341067,5.98387629589668,-0.0368455533568192,0.970608152362707,1
"ABCF3",1125.6392158519,-0.0787280736152361,0.0758964817155408,-1.03730860555972,0.29959205649146,1
"ABCG1",58.5676467645558,-0.0550139600434964,0.316815178641437,-0.173646857071074,0.862143004771754,1
