"","logFC","AveExpr","t","P.Value","adj.P.Val","B","1st_AVG","2nd_AVG","deltaBeta","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_Islands_Name","SNP_ID","SNP_DISTANCE","dna_meth"
"cg03586128",0.362074481637249,0.239645442160554,102.325561296008,1.06746042852055e-13,9.24270219178371e-08,18.1678193687334,0.0586082013419299,0.420682682979179,0.362074481637249,"13",113299796,"R","I","","IGR","shelf","IGR-shelf","chr13:113303306-113303540","rs530696703","36","Hyper"
"cg12122597",0.133711810347646,0.510175068072612,22.052857452273,2.02827890401683e-08,0.00878101771776556,10.2660666102809,0.443319162898789,0.577030973246435,0.133711810347646,"11",30039004,"R","I","KCNA4","TSS1500","island","TSS1500-island","chr11:30038934-30039148","rs78767559;rs540657018;rs558968923;rs529642607;rs541680013","40;36;32;29;23","Hyper"
"cg24309011",0.111245400224041,0.68094764555195,16.0076711440672,2.46483896851726e-07,0.0181971729096897,7.74109300973851,0.625324945439929,0.73657034566397,0.111245400224041,"21",44444757,"F","II","PKNOX1","Body","opensea","Body-opensea","","rs528952972;rs547216599;rs452847;rs34731025;rs454555","0;1;18;19;20","Hyper"
"cg03548123",0.12367297872982,0.499800670715996,15.0068698319676,4.05899403822482e-07,0.0181971729096897,7.22059738751644,0.437964181351087,0.561637160080906,0.12367297872982,"19",1672090,"R","II","","IGR","island","IGR-island","chr19:1671995-1672574","","","Hyper"
"cg26023019",-0.343342926690025,0.427967777140186,-13.9071908934992,7.28903888329861e-07,0.0181977063208007,6.60454642802575,0.599639240485198,0.256296313795173,-0.343342926690025,"21",31311859,"F","I","GRIK1","1stExon","island","1stExon-island","chr21:31311386-31312106","rs186506386","0","Hypo"
"cg24892241",-0.131080764965937,0.329158707303503,-11.7454014805646,2.6418269735188e-06,0.0221531808995946,5.23351450415662,0.394699089786471,0.263618324820534,-0.131080764965937,"6",28105103,"R","I","","IGR","island","IGR-island","chr6:28104781-28105240","rs559161020","2","Hypo"
"cg04016144",0.127602879800045,0.601759893286059,11.6198300477837,2.86550752856497e-06,0.0221531808995946,5.14636533018871,0.537958453386037,0.665561333186082,0.127602879800045,"Y",9215053,"R","I","TSPY4","TSS1500","shore","TSS1500-shore","chrY:9215484-9216005","","","Hyper"
"cg12524748",0.117450886630779,0.153550177347297,11.4683183416318,3.1641008389281e-06,0.0221531808995946,5.03999275112731,0.0948247340319075,0.212275620662687,0.117450886630779,"4",1713366,"F","I","SLBP","Body","island","Body-island","chr4:1713267-1714980","rs544449913;rs560847333","21;49","Hyper"
"cg17837162",-0.113634435609373,0.573628610131042,-10.5716689769195,5.83351161938924e-06,0.0225491006127355,4.38161548290397,0.630445827935728,0.516811392326356,-0.113634435609372,"Y",9340946,"F","I","TSPY4","Body","shelf","Body-shelf","chrY:9343351-9343614","","","Hypo"
"cg14812623",0.150851409917371,0.336604746335586,8.86191868541142,2.14946223570852e-05,0.0291256842245438,2.96952868584748,0.2611790413769,0.412030451294271,0.150851409917371,"X",129474169,"R","I","SLC25A14","5'UTR","shore","5'UTR-shore","chrX:129473463-129473945","","","Hyper"
"cg13145550",-0.104817214543109,0.595408313231086,-8.78394136469931,2.29253502739185e-05,0.0291930889688835,2.89953402428351,0.64781692050264,0.542999705959531,-0.104817214543109,"7",1350879,"R","II","","IGR","shore","IGR-shore","chr7:1351464-1351904","rs34295871","2","Hypo"
"cg02056550",0.116211382565458,0.528550151621531,8.33933153465098,3.34147795338144e-05,0.0322871276011622,2.49000987500792,0.470444460338802,0.586655842904259,0.116211382565458,"Y",8552374,"F","II","TTTY18","TSS1500","opensea","TSS1500-opensea","","","","Hyper"
"cg27442315",-0.120443317251933,0.499469876834182,-8.23022480766765,3.67437114906783e-05,0.0333839174056739,2.3867109974549,0.559691535460148,0.439248218208215,-0.120443317251933,"1",49482391,"F","II","AGBL4","Body","opensea","Body-opensea","","rs2764700;rs193108308;rs148606682","3;39;40","Hypo"
"cg00543493",0.12922525815312,0.596549394303894,7.71602502087188,5.83060419731409e-05,0.0361328058486486,1.88416924116026,0.531936765227334,0.661162023380454,0.12922525815312,"Y",9342875,"R","II","TSPY4","Body","shore","Body-shore","chrY:9343351-9343614","","","Hyper"
"cg12114260",-0.117277025090889,0.709115666761133,-7.51660052398888,7.02020811806731e-05,0.0374979575768859,1.68198503041856,0.767754179306577,0.650477154215688,-0.117277025090889,"7",57080792,"F","II","","IGR","shelf","IGR-shelf","chr7:57084195-57084405","rs371297822;rs115797236","23;45","Hypo"
